bloque,hora_inicio,Z1,Z2,Z3,Z4,Z5
0,0,2028.6,441.2,820.2,203.8,2600.6
1,6,2345.8,558.0,1054.5,248.4,3084.2
2,12,2509.2,683.0,1162.4,302.4,3425.4
3,18,2633.6,754.3,1250.6,338.3,3660.2
4,24,2705.8,790.5,1286.5,356.6,3768.1
5,30,2742.0,808.8,1304.4,365.7,3821.7
6,36,2760.2,812.3,1306.3,367.5,3839.6
7,42,2763.8,812.3,1306.3,367.5,3845.1
8,48,2765.6,812.3,1306.3,367.5,3846.9
9,54,2765.6,812.3,1306.3,367.5,3846.9
10,60,2765.6,812.3,1306.3,367.5,3846.9
11,66,2765.6,812.3,1306.3,367.5,3846.9
