escenario,realizacion,bloque,tiempo_h,zona,suministro,inventario_inicio,reposicion_recibida,demanda,consumo_satisfecho,inventario_fin,superavit,deficit
base_pre_intercambio,0,0,0,Z1,agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,0,0,Z1,alimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,0,0,Z1,medicamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,0,0,Z2,agua,65000.0,0.0,2918.9449329209933,2918.9449329209933,62081.055067079,62081.055067079,0.0
base_pre_intercambio,0,0,0,Z2,alimentos,18000.0,0.0,970.9466449474023,970.9466449474023,17029.053355052598,17029.053355052598,0.0
base_pre_intercambio,0,0,0,Z2,medicamentos,380.0,0.0,53.01552155783194,53.01552155783194,326.98447844216804,326.98447844216804,0.0
base_pre_intercambio,0,0,0,Z3,agua,40000.0,0.0,1804.9833126608703,1804.9833126608703,38195.01668733913,38195.01668733913,0.0
base_pre_intercambio,0,0,0,Z3,alimentos,9500.0,0.0,772.3087980419137,772.3087980419137,8727.691201958087,8727.691201958087,0.0
base_pre_intercambio,0,0,0,Z3,medicamentos,210.0,0.0,32.28942647420589,32.28942647420589,177.7105735257941,177.7105735257941,0.0
base_pre_intercambio,0,0,0,Z4,agua,180000.0,0.0,6851.589619040442,6851.589619040442,173148.41038095957,173148.41038095957,0.0
base_pre_intercambio,0,0,0,Z4,alimentos,42000.0,0.0,2998.5361139516817,2998.5361139516817,39001.46388604832,39001.46388604832,0.0
base_pre_intercambio,0,0,0,Z4,medicamentos,1200.0,0.0,158.60512114273922,158.60512114273922,1041.3948788572607,1041.3948788572607,0.0
base_pre_intercambio,0,0,0,Z5,agua,28000.0,0.0,1478.8698233802718,1478.8698233802718,26521.13017661973,26521.13017661973,0.0
base_pre_intercambio,0,0,0,Z5,alimentos,7200.0,0.0,465.77184440902323,465.77184440902323,6734.228155590977,6734.228155590977,0.0
base_pre_intercambio,0,0,0,Z5,medicamentos,145.0,0.0,23.09749042228737,23.09749042228737,121.90250957771264,121.90250957771264,0.0
base_pre_intercambio,0,1,6,Z1,agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,1,6,Z1,alimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,1,6,Z1,medicamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,1,6,Z2,agua,62081.055067079,0.0,2429.875159254568,2429.875159254568,59651.17990782444,59651.17990782444,0.0
base_pre_intercambio,0,1,6,Z2,alimentos,17029.053355052598,0.0,912.8200934211654,912.8200934211654,16116.233261631432,16116.233261631432,0.0
base_pre_intercambio,0,1,6,Z2,medicamentos,326.98447844216804,0.0,59.811813637230905,59.811813637230905,267.17266480493714,267.17266480493714,0.0
base_pre_intercambio,0,1,6,Z3,agua,38195.01668733913,0.0,1851.8312214497214,1851.8312214497214,36343.18546588941,36343.18546588941,0.0
base_pre_intercambio,0,1,6,Z3,alimentos,8727.691201958087,0.0,601.9027483230242,601.9027483230242,8125.788453635063,8125.788453635063,0.0
base_pre_intercambio,0,1,6,Z3,medicamentos,177.7105735257941,0.0,22.34564859303036,22.34564859303036,155.36492493276376,155.36492493276376,0.0
base_pre_intercambio,0,1,6,Z4,agua,173148.41038095957,0.0,9384.326923189194,9384.326923189194,163764.08345777038,163764.08345777038,0.0
base_pre_intercambio,0,1,6,Z4,alimentos,39001.46388604832,0.0,2229.344215219671,2229.344215219671,36772.119670828644,36772.119670828644,0.0
base_pre_intercambio,0,1,6,Z4,medicamentos,1041.3948788572607,0.0,215.53336847157442,215.53336847157442,825.8615103856862,825.8615103856862,0.0
base_pre_intercambio,0,1,6,Z5,agua,26521.13017661973,0.0,1097.1412013701472,1097.1412013701472,25423.98897524958,25423.98897524958,0.0
base_pre_intercambio,0,1,6,Z5,alimentos,6734.228155590977,0.0,373.43297516342227,373.43297516342227,6360.795180427554,6360.795180427554,0.0
base_pre_intercambio,0,1,6,Z5,medicamentos,121.90250957771264,0.0,19.05408301190713,19.05408301190713,102.84842656580551,102.84842656580551,0.0
base_pre_intercambio,0,2,12,Z1,agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,2,12,Z1,alimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,2,12,Z1,medicamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,2,12,Z2,agua,59651.17990782444,0.0,3336.5044515190675,3336.5044515190675,56314.67545630537,56314.67545630537,0.0
base_pre_intercambio,0,2,12,Z2,alimentos,16116.233261631432,0.0,940.0138142122596,940.0138142122596,15176.219447419173,15176.219447419173,0.0
base_pre_intercambio,0,2,12,Z2,medicamentos,267.17266480493714,0.0,45.72275498234465,45.72275498234465,221.4499098225925,221.4499098225925,0.0
base_pre_intercambio,0,2,12,Z3,agua,36343.18546588941,0.0,1360.6721490074442,1360.6721490074442,34982.51331688197,34982.51331688197,0.0
base_pre_intercambio,0,2,12,Z3,alimentos,8125.788453635063,0.0,485.6653285055388,485.6653285055388,7640.123125129524,7640.123125129524,0.0
base_pre_intercambio,0,2,12,Z3,medicamentos,155.36492493276376,0.0,31.417635156932864,31.417635156932864,123.9472897758309,123.9472897758309,0.0
base_pre_intercambio,0,2,12,Z4,agua,163764.08345777038,0.0,7625.427172926715,7625.427172926715,156138.65628484366,156138.65628484366,0.0
base_pre_intercambio,0,2,12,Z4,alimentos,36772.119670828644,0.0,3025.680297613598,3025.680297613598,33746.43937321505,33746.43937321505,0.0
base_pre_intercambio,0,2,12,Z4,medicamentos,825.8615103856862,0.0,120.08271961016044,120.08271961016044,705.7787907755257,705.7787907755257,0.0
base_pre_intercambio,0,2,12,Z5,agua,25423.98897524958,0.0,1390.1600398355401,1390.1600398355401,24033.82893541404,24033.82893541404,0.0
base_pre_intercambio,0,2,12,Z5,alimentos,6360.795180427554,0.0,401.2336434032942,401.2336434032942,5959.56153702426,5959.56153702426,0.0
base_pre_intercambio,0,2,12,Z5,medicamentos,102.84842656580551,0.0,24.57088869244704,24.57088869244704,78.27753787335847,78.27753787335847,0.0
base_pre_intercambio,0,3,18,Z1,agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,3,18,Z1,alimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,3,18,Z1,medicamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,3,18,Z2,agua,56314.67545630537,0.0,2796.042221225458,2796.042221225458,53518.63323507991,53518.63323507991,0.0
base_pre_intercambio,0,3,18,Z2,alimentos,15176.219447419173,0.0,1126.6104559435712,1126.6104559435712,14049.608991475601,14049.608991475601,0.0
base_pre_intercambio,0,3,18,Z2,medicamentos,221.4499098225925,0.0,55.892492449491556,55.892492449491556,165.55741737310095,165.55741737310095,0.0
base_pre_intercambio,0,3,18,Z3,agua,34982.51331688197,0.0,2109.5712042192395,2109.5712042192395,32872.94211266273,32872.94211266273,0.0
base_pre_intercambio,0,3,18,Z3,alimentos,7640.123125129524,0.0,563.8442503333678,563.8442503333678,7076.278874796156,7076.278874796156,0.0
base_pre_intercambio,0,3,18,Z3,medicamentos,123.9472897758309,0.0,27.968125160478646,27.968125160478646,95.97916461535225,95.97916461535225,0.0
base_pre_intercambio,0,3,18,Z4,agua,156138.65628484366,40000.0,7404.902790405547,7404.902790405547,188733.7534944381,188733.7534944381,0.0
base_pre_intercambio,0,3,18,Z4,alimentos,33746.43937321505,8000.0,3405.280183160137,3405.280183160137,38341.15919005491,38341.15919005491,0.0
base_pre_intercambio,0,3,18,Z4,medicamentos,705.7787907755257,200.0,130.68748091962237,130.68748091962237,775.0913098559033,775.0913098559033,0.0
base_pre_intercambio,0,3,18,Z5,agua,24033.82893541404,0.0,1221.1354081623988,1221.1354081623988,22812.693527251642,22812.693527251642,0.0
base_pre_intercambio,0,3,18,Z5,alimentos,5959.56153702426,0.0,405.8962021035212,405.8962021035212,5553.665334920739,5553.665334920739,0.0
base_pre_intercambio,0,3,18,Z5,medicamentos,78.27753787335847,0.0,21.829256469929962,21.829256469929962,56.44828140342851,56.44828140342851,0.0
base_pre_intercambio,0,4,24,Z1,agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,4,24,Z1,alimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
