zona,suministro,deficit_medio,deficit_ic95_inferior,deficit_ic95_superior
Z1,agua,3629.7500845612044,3599.3672826678767,3660.132886454532
Z1,alimentos,1198.5163477131618,1190.2911367423037,1206.74155868402
Z1,medicamentos,60.01184198307585,59.5153884867724,60.50829547937929
Z2,agua,0.0,0.0,0.0
Z2,alimentos,0.0,0.0,0.0
Z2,medicamentos,0.0,0.0,0.0
Z3,agua,0.0,0.0,0.0
Z3,alimentos,0.0,0.0,0.0
Z3,medicamentos,150.87839651854864,147.81642499225768,153.9403680448396
Z4,agua,0.0,0.0,0.0
Z4,alimentos,0.0,0.0,0.0
Z4,medicamentos,0.0,0.0,0.0
Z5,agua,0.0,0.0,0.0
Z5,alimentos,0.0,0.0,0.0
Z5,medicamentos,80.11781448435784,78.29630822363218,81.93932074508349
