realizacion,bloque,tiempo_h,zona,suministro,deficit
0,6,36,Z5,medicamentos,3.5192937771757933
1,6,36,Z5,medicamentos,20.993206924018267
2,6,36,Z5,medicamentos,8.411957148218754
3,6,36,Z3,medicamentos,29.871325036757177
4,6,36,Z3,medicamentos,25.714272977511833
5,6,36,Z3,medicamentos,25.332844509624085
6,6,36,Z5,medicamentos,14.48887391068293
7,5,30,Z5,medicamentos,3.9916384291646168
8,6,36,Z5,medicamentos,26.566382613636183
9,6,36,Z5,medicamentos,14.226147078800427
10,6,36,Z5,medicamentos,17.117645408323963
11,5,30,Z5,medicamentos,5.011562564112069
12,6,36,Z3,medicamentos,13.118580602943013
13,6,36,Z3,medicamentos,16.40587639093154
14,6,36,Z5,medicamentos,14.44142832377197
15,6,36,Z3,medicamentos,12.83735175014262
16,6,36,Z5,medicamentos,16.502309653412414
17,5,30,Z5,medicamentos,3.810137205662876
18,6,36,Z5,medicamentos,10.416446860861097
19,6,36,Z5,medicamentos,6.8227660357156665
20,7,42,Z5,medicamentos,27.071195494561813
21,6,36,Z3,medicamentos,19.40135418039535
22,6,36,Z5,medicamentos,14.652491498198625
23,6,36,Z5,medicamentos,28.12977247530132
24,6,36,Z5,medicamentos,7.973615003625287
25,6,36,Z5,medicamentos,3.90686818245225
26,6,36,Z3,medicamentos,20.464675549299137
27,6,36,Z3,medicamentos,21.714431533265035
28,6,36,Z5,medicamentos,19.726725495960505
29,6,36,Z3,medicamentos,21.472223132956067
30,5,30,Z3,medicamentos,1.4159793808252203
31,6,36,Z3,medicamentos,30.630694910266183
32,6,36,Z5,medicamentos,9.687193723688676
33,6,36,Z3,medicamentos,22.343097088059103
34,6,36,Z5,medicamentos,18.998282166983966
35,6,36,Z3,medicamentos,11.189507009453607
36,6,36,Z5,medicamentos,10.103605433814081
37,6,36,Z3,medicamentos,8.775437675335795
38,6,36,Z5,medicamentos,5.182377355175259
39,6,36,Z5,medicamentos,16.338089346464166
40,6,36,Z5,medicamentos,8.073411869910185
41,6,36,Z5,medicamentos,5.9789166078117475
42,6,36,Z3,medicamentos,26.845804794754187
43,6,36,Z5,medicamentos,9.915137291217192
44,6,36,Z3,medicamentos,20.49119145478626
45,6,36,Z3,medicamentos,29.212849722080552
46,6,36,Z3,medicamentos,28.35796423720655
47,5,30,Z5,medicamentos,1.8075649143251233
48,6,36,Z5,medicamentos,1.8833772576546792
49,6,36,Z3,medicamentos,14.233665460703815
50,5,30,Z3,medicamentos,0.17266494093584583
51,6,36,Z5,medicamentos,11.607255144584492
52,7,42,Z3,medicamentos,26.27954067051811
53,6,36,Z5,medicamentos,12.52650126366315
54,6,36,Z3,medicamentos,25.431031428626948
55,6,36,Z5,medicamentos,3.4878479553109045
56,6,36,Z5,medicamentos,7.724518521535085
57,6,36,Z5,medicamentos,20.419150027624685
58,6,36,Z5,medicamentos,4.224351771704008
59,6,36,Z2,medicamentos,24.120122925129948
60,6,36,Z5,medicamentos,10.771734238133803
61,6,36,Z5,medicamentos,11.967432590573583
62,6,36,Z5,medicamentos,22.948569393063472
63,6,36,Z5,medicamentos,16.093327376785496
64,5,30,Z5,medicamentos,7.8866732608035335
65,5,30,Z5,medicamentos,12.464316015914843
66,6,36,Z3,medicamentos,15.645205821893907
67,6,36,Z5,medicamentos,19.397962366601114
68,6,36,Z3,medicamentos,8.555289951294952
69,5,30,Z5,medicamentos,3.0069329650917744
70,6,36,Z5,medicamentos,21.059827332581328
71,6,36,Z5,medicamentos,20.68481904445789
72,5,30,Z5,medicamentos,4.799019401571751
73,6,36,Z3,medicamentos,20.58721572190909
74,6,36,Z5,medicamentos,14.424532940376228
75,6,36,Z5,medicamentos,3.3940061821471588
76,6,36,Z3,medicamentos,11.745984852918284
77,6,36,Z5,medicamentos,21.265176675009936
78,6,36,Z3,medicamentos,10.178804098174812
79,5,30,Z5,medicamentos,3.6900454680565993
80,5,30,Z3,medicamentos,3.5037740482178776
81,6,36,Z3,medicamentos,19.75416588848748
82,6,36,Z5,medicamentos,1.4108427942342452
83,6,36,Z5,medicamentos,15.216530577548497
84,6,36,Z5,medicamentos,21.266632742151415
85,6,36,Z5,medicamentos,10.245773195817396
86,6,36,Z5,medicamentos,13.978385980430215
87,6,36,Z3,medicamentos,11.06806239515791
88,6,36,Z3,medicamentos,10.957544935081899
89,6,36,Z5,medicamentos,13.23506442508874
90,6,36,Z5,medicamentos,7.459280168074571
91,6,36,Z3,medicamentos,22.952321107295546
92,6,36,Z5,medicamentos,13.8453865750262
93,6,36,Z3,medicamentos,7.210624287408251
94,6,36,Z5,medicamentos,11.890044641876976
95,6,36,Z3,medicamentos,5.4973297874930225
96,6,36,Z5,medicamentos,13.772557928813082
97,6,36,Z3,medicamentos,21.196371962725074
98,5,30,Z5,medicamentos,5.7598516487373566
99,6,36,Z3,medicamentos,20.725340526297177
