realizacion,bloque,tiempo_h,zona,suministro,deficit
0,0,0,Z1,agua,301.6209958139851
1,0,0,Z1,agua,321.7599719861707
2,0,0,Z1,agua,365.74581365322774
3,0,0,Z1,agua,222.28112648599802
4,0,0,Z1,agua,336.0244272114114
5,0,0,Z1,agua,272.68541181017076
6,0,0,Z1,agua,260.32114886793016
7,0,0,Z1,agua,321.33985348855845
8,0,0,Z1,agua,207.26920207119616
9,0,0,Z1,agua,285.9605517279465
10,0,0,Z1,agua,286.55156034815684
11,0,0,Z1,agua,276.2325395838047
12,0,0,Z1,agua,217.75307481764867
13,0,0,Z1,agua,333.66771072986324
14,0,0,Z1,agua,248.3617475458305
15,0,0,Z1,agua,360.4387704350808
16,0,0,Z1,agua,458.9811459261386
17,0,0,Z1,agua,276.4267341436085
18,0,0,Z1,agua,316.1357458631138
19,0,0,Z1,agua,345.4090671132428
20,0,0,Z1,agua,325.2131823991528
21,0,0,Z1,agua,451.71996040301383
22,0,0,Z1,agua,265.9567219899059
23,0,0,Z1,agua,379.57716705643537
24,0,0,Z1,agua,351.25423620110854
25,0,0,Z1,agua,361.1719124382083
26,0,0,Z1,agua,376.6936830031638
27,0,0,Z1,agua,275.5146834046946
28,0,0,Z1,agua,237.75379321963368
29,0,0,Z1,agua,333.1454494047727
30,0,0,Z1,agua,288.90777946836835
31,0,0,Z1,agua,300.83227555287095
32,0,0,Z1,agua,270.1952210015929
33,0,0,Z1,agua,316.17076823919166
34,0,0,Z1,agua,332.32519451406483
35,0,0,Z1,agua,242.98184234956392
36,0,0,Z1,agua,369.00599639852885
37,0,0,Z1,agua,322.45839225513674
38,0,0,Z1,agua,291.6395919396738
39,0,0,Z1,agua,320.1986283388836
40,0,0,Z1,agua,350.65390655508446
41,0,0,Z1,agua,331.4853440450517
42,0,0,Z1,agua,293.1251612655767
43,0,0,Z1,agua,267.35677730197557
44,0,0,Z1,agua,246.93761980694637
45,0,0,Z1,agua,293.10993539393127
46,0,0,Z1,agua,329.92262739936325
47,0,0,Z1,agua,377.4048063222519
48,0,0,Z1,agua,222.51963643116633
49,0,0,Z1,agua,372.3006715597405
50,0,0,Z1,agua,254.69925577509056
51,0,0,Z1,agua,274.3726174457235
52,0,0,Z1,agua,275.4772721484917
53,0,0,Z1,agua,309.4664865339949
54,0,0,Z1,agua,277.21483942195374
55,0,0,Z1,agua,271.70258530479407
56,0,0,Z1,agua,302.18004988464486
57,0,0,Z1,agua,315.9911373778337
58,0,0,Z1,agua,381.0981416323871
59,0,0,Z1,agua,363.51386977652083
60,0,0,Z1,agua,261.87019007665543
61,0,0,Z1,agua,293.15072669644286
62,0,0,Z1,agua,252.9467517730218
63,0,0,Z1,agua,292.7219434388527
64,0,0,Z1,agua,301.2759898165418
65,0,0,Z1,agua,316.72600521647047
66,0,0,Z1,agua,310.99781987131104
67,0,0,Z1,agua,396.50538324785066
68,0,0,Z1,agua,340.22526075345735
69,0,0,Z1,agua,254.90605817397244
70,0,0,Z1,agua,351.70917481614936
71,0,0,Z1,agua,390.6675701251294
72,0,0,Z1,agua,242.29263212455655
73,0,0,Z1,agua,382.1314920491666
74,0,0,Z1,agua,328.5832215682709
75,0,0,Z1,agua,289.9945700235719
76,0,0,Z1,agua,310.00935306699614
77,0,0,Z1,agua,260.29472910750815
78,0,0,Z1,agua,407.32827059432634
79,0,0,Z1,agua,317.4462940351155
80,0,0,Z1,agua,305.9259269341006
81,0,0,Z1,agua,195.62811889908966
82,0,0,Z1,agua,303.82552110963286
83,0,0,Z1,agua,288.92218115854524
84,0,0,Z1,agua,345.4262396459851
85,0,0,Z1,agua,348.9552104009436
86,0,0,Z1,agua,388.35350711016633
87,0,0,Z1,agua,229.79203386946725
88,0,0,Z1,agua,342.5933502361153
89,0,0,Z1,agua,336.9429340500233
90,0,0,Z1,agua,437.21732829060613
91,0,0,Z1,agua,300.01966811323814
92,0,0,Z1,agua,258.6175969015586
93,0,0,Z1,agua,312.9966231662229
94,0,0,Z1,agua,338.5027881067151
95,0,0,Z1,agua,471.8960811091764
96,0,0,Z1,agua,297.21323332798903
97,0,0,Z1,agua,356.6440872870569
98,0,0,Z1,agua,231.7866269129712
99,0,0,Z1,agua,249.7333707663575
